fk_euv,fecha_recepcion,fecha_hechos,SubtipoOrd,dependencia,pk_dependencia,MunHecho
3117202617,15/01/2018,01/12/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117202627,16/01/2018,27/05/2016,Emergencia,PODER JUDICIAL,176,Tecoh
3117600079,16/01/2018,14/10/2017,Emergencia,PODER JUDICIAL,176,Mérida
3116800032,16/01/2018,17/11/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117202685,16/01/2018,17/08/2017,Seleccione,PODER JUDICIAL,176,Timucuy
3117202697,16/01/2018,21/11/2017,Emergencia,SECRETARIA DE LAS MUJERES,172,Mérida
3117202762,16/01/2018,24/08/2017,Seleccione,SECRETARIA DE LAS MUJERES,172,Espita
3117202823,16/01/2018,03/10/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117202904,16/01/2018,07/05/2015,Emergencia,PODER JUDICIAL,176,Tekax
3117202950,16/01/2018,25/10/2017,Seleccione,SECRETARIA DE LAS MUJERES,172,Mérida
3117202950,16/01/2018,25/10/2017,Seleccione,SECRETARIA DE LAS MUJERES,172,Mérida
3117202952,16/01/2018,14/05/2015,Seleccione,PODER JUDICIAL,176,Tekax
3117202956,16/01/2018,20/02/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117203003,17/01/2018,06/09/2017,Seleccione,PODER JUDICIAL,176,Mérida
3117203304,18/01/2018,21/09/2017,Preventiva,SECRETARIA DE LAS MUJERES,172,Seleccione
3117203562,22/01/2018,22/04/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117203602,22/01/2018,10/03/2016,Emergencia,PODER JUDICIAL,176,Espita
3117203671,22/01/2018,15/05/2016,Emergencia,PODER JUDICIAL,176,Tizimín
3117203680,23/01/2018,29/05/2016,Emergencia,PODER JUDICIAL,176,Tizimín
3117203830,23/01/2018,22/08/2016,Emergencia,PODER JUDICIAL,176,Mérida
3116800109,24/01/2018,21/10/2017,Emergencia,PODER JUDICIAL,176,Umán
3116800109,24/01/2018,21/10/2017,Emergencia,PODER JUDICIAL,176,Umán
3117203986,24/01/2018,25/05/2016,Emergencia,PODER JUDICIAL,176,Kanasín
3117204012,25/01/2018,17/10/2017,Emergencia,PODER JUDICIAL,176,Izamal
3117204012,25/01/2018,17/10/2017,Seleccione,PODER JUDICIAL,176,Izamal
3117204106,25/01/2018,09/06/2016,Seleccione,SECRETARIA DE LAS MUJERES,172,Mérida
3117204157,25/01/2018,17/02/2016,Seleccione,PODER JUDICIAL,176,Mérida
3117204171,25/01/2018,03/09/2016,Emergencia,PODER JUDICIAL,176,Muna
3117204171,25/01/2018,03/09/2016,Emergencia,PODER JUDICIAL,176,Muna
3117203637,25/01/2018,07/04/2015,Seleccione,PODER JUDICIAL,176,Tekax
3117204223,26/01/2018,15/08/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117204336,26/01/2018,29/06/2015,Seleccione,PODER JUDICIAL,176,Tekax
3117204340,26/01/2018,08/07/2015,Emergencia,PODER JUDICIAL,176,Tekax
3117204465,30/01/2018,26/06/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117204482,30/01/2018,27/01/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117204517,31/01/2018,15/07/2015,Emergencia,PODER JUDICIAL,176,Akil
3117204564,31/01/2018,16/06/2015,Emergencia,PODER JUDICIAL,176,Acanceh
3117204660,01/02/2018,11/02/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117204662,01/02/2018,24/05/2016,Seleccione,PODER JUDICIAL,176,Kantunil
3117204819,02/02/2018,19/09/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117204823,02/02/2018,07/08/2015,Emergencia,PODER JUDICIAL,176,Mérida
3116800153,02/02/2018,29/01/2018,Emergencia,PODER JUDICIAL,176,Mérida
3117204870,04/02/2018,04/06/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117204872,04/02/2018,04/06/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117205022,06/02/2018,13/08/2015,Emergencia,PODER JUDICIAL,176,Tixkokob
3117205058,06/02/2018,03/07/2015,Emergencia,PODER JUDICIAL,176,Mérida
3116900163,06/02/2018,26/01/2018,Emergencia,PODER JUDICIAL,176,Mérida
3117205119,06/02/2018,28/10/2015,Seleccione,PODER JUDICIAL,176,Kanasín
3117205164,07/02/2018,14/09/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117205293,07/02/2018,19/11/2015,Emergencia,PODER JUDICIAL,176,Progreso
3117205436,08/02/2018,10/10/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117205528,08/02/2018,27/05/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117205582,08/02/2018,22/09/2015,Seleccione,PODER JUDICIAL,176,Mérida
3117205715,09/02/2018,18/08/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117600086,09/02/2018,05/10/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117600087,09/02/2018,11/09/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117600085,09/02/2018,09/10/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117600088,09/02/2018,03/01/2017,Emergencia,PODER JUDICIAL,176,Cansahcab
3117205820,09/02/2018,28/12/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117205862,12/02/2018,03/01/2018,Seleccione,SECRETARIA DE LAS MUJERES,172,Kanasín
3117600089,14/02/2018,09/02/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600090,14/02/2018,26/01/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600092,14/02/2018,24/03/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600093,14/02/2018,27/03/2017,Emergencia,PODER JUDICIAL,176,Tizimín
3117600093,14/02/2018,27/03/2017,Emergencia,PODER JUDICIAL,176,Tizimín
3117600094,14/02/2018,22/06/2017,Emergencia,PODER JUDICIAL,176,Tizimín
3117600094,14/02/2018,22/06/2017,Emergencia,PODER JUDICIAL,176,Tizimín
3117600095,14/02/2018,19/04/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600096,15/02/2018,30/01/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117600097,15/02/2018,29/04/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600102,16/02/2018,18/02/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600103,16/02/2018,01/04/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117600106,16/02/2018,13/05/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600107,16/02/2018,03/06/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117600108,16/02/2018,21/05/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600110,16/02/2018,20/04/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600111,16/02/2018,03/08/2015,Emergencia,PODER JUDICIAL,176,Mérida
3117600113,16/02/2018,16/05/2015,Emergencia,PODER JUDICIAL,176,Tizimín
3117600114,16/02/2018,22/04/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117600115,19/02/2018,20/06/2016,Emergencia,PODER JUDICIAL,176,Mérida
